[0.74805445 0.00584429]
[1. 0.]
[0.97932371 0.0056917 ]
[0.91033662 0.00558489]
[0.99586474 0.00413526]
[1. 0.]
[1. 0.]
[0.99227882 0.00518815]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.99301126 0.00421155]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.98507645 0.00161748]
[0.97039705 0.00152593]
[0.94830164 0.00140385]
[0.92529069 0.0013123 ]
[0.9262215  0.00120548]
[0.93708609 0.00111393]
[0.92085025 0.00102237]
[0.887051   0.00094607]
[8.73287149e-01 8.54518265e-04]
[8.80260628e-01 7.78221992e-04]
[8.85402997e-01 7.01925718e-04]
[8.84365368e-01 6.40888699e-04]
[8.78749962e-01 5.79851680e-04]
[8.67824335e-01 5.18814661e-04]
[8.66618854e-01 4.73036897e-04]
[8.84746849e-01 4.11999878e-04]
[9.00189215e-01 3.50962859e-04]
[8.97335734e-01 3.05185095e-04]
[8.94650105e-01 2.74666585e-04]
[9.02142399e-01 2.28888821e-04]
[9.05346843e-01 1.98370312e-04]
[9.06659139e-01 1.67851802e-04]
[9.20422987e-01 1.37333293e-04]
[9.31714835e-01 1.06814783e-04]
[9.23108615e-01 7.62962737e-05]
[9.16104617e-01 6.10370190e-05]
[9.29990539e-01 3.05185095e-05]
[9.44532609e-01 1.52592547e-05]
[0.94686728 0.        ]
[9.51017792e-01 6.10370190e-05]
[9.63484603e-01 1.67851802e-04]
[9.74166082e-01 2.59407331e-04]
[9.85976745e-01 3.50962859e-04]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[9.99603259e-01 3.96740623e-04]
[1. 0.]
[9.9938963e-01 6.1037019e-04]
[0.98106326 0.00218207]
[0.98127689 0.00248726]
[0.99475082 0.00238044]
[0.98849452 0.001648  ]
[9.69817194e-01 8.85036775e-04]
[9.68535417e-01 7.01925718e-04]
[0.97654653 0.00108341]
[0.97201453 0.00155644]
[0.96704001 0.001648  ]
[0.97528001 0.0013123 ]
[9.78240303e-01 9.15555284e-04]
[9.66994232e-01 7.17184973e-04]
[9.64644307e-01 6.56147954e-04]
[9.78698080e-01 8.54518265e-04]
[0.9853206  0.00134281]
[0.9766686  0.00151067]
[0.97135838 0.00102237]
[9.74440748e-01 6.86666463e-04]
[0.97334208 0.00111393]
[0.96861171 0.00138859]
[9.69695120e-01 8.54518265e-04]
[9.70458083e-01 3.05185095e-04]
[9.60097049e-01 1.98370312e-04]
[9.46867275e-01 2.13629566e-04]
[9.46104312e-01 8.85036775e-04]
[9.54512162e-01 5.64592425e-04]
[9.56190680e-01 5.64592425e-04]
[9.49797052e-01 9.15555284e-04]
[9.50422681e-01 2.28888821e-04]
[9.62950529e-01 2.13629566e-04]
[9.72869045e-01 3.35703604e-04]
[0.9717246  0.00099185]
[0.97036653 0.00161748]
[0.9755089  0.00132756]
[9.77752007e-01 8.54518265e-04]
[0.97515793 0.00128178]
[0.97875912 0.00195318]
[0.98602252 0.00180059]
[0.9824366  0.00117496]
[9.73235267e-01 9.15555284e-04]
[0.97534104 0.00103763]
[0.98309275 0.00137333]
[0.98068178 0.0019837 ]
[0.97503586 0.00256355]
[0.97883541 0.00248726]
[0.98307749 0.00178533]
[0.97956786 0.00117496]
[0.98034608 0.00155644]
[0.9894406 0.0029603]
[0.99122593 0.00437941]
[0.98380993 0.00474563]
[0.98466445 0.00425733]
[0.9951323  0.00398267]
[0.997528 0.002472]
[0.99572741 0.00360118]
[0.99748222 0.00251778]
[1. 0.]
