[1.09866634e-03 3.05185095e-05]
[1.77007355e-03 3.05185095e-05]
[1.98370312e-03 3.05185095e-05]
[0.00161748 0.        ]
[6.71407208e-04 3.05185095e-05]
[0.00070193 0.        ]
[0.00219733 0.        ]
[3.55540635e-03 1.52592547e-05]
[4.42518387e-03 3.05185095e-05]
[4.59303568e-03 1.52592547e-05]
[4.10473952e-03 1.52592547e-05]
[3.05185095e-03 3.05185095e-05]
[0.001648 0.      ]
[0.00027467 0.        ]
[8.23999756e-04 3.05185095e-05]
[1.35807367e-03 1.52592547e-05]
[1.57170324e-03 1.52592547e-05]
[1.35807367e-03 1.52592547e-05]
[0.00109867 0.        ]
[9.15555284e-04 3.05185095e-05]
[1.03762932e-03 3.05185095e-05]
[1.51066622e-03 1.52592547e-05]
[0.00216681 0.        ]
[0.0028077 0.       ]
[3.17392499e-03 3.05185095e-05]
[3.05185095e-03 3.05185095e-05]
[2.34992523e-03 3.05185095e-05]
[1.05288858e-03 1.52592547e-05]
[0.00051881 0.        ]
[2.19733268e-03 3.05185095e-05]
[0.0036317 0.       ]
[4.53199866e-03 1.52592547e-05]
[0.00488296 0.        ]
[0.00442518 0.        ]
[3.54014710e-03 3.05185095e-05]
[0.00225837 0.        ]
[0.00085452 0.        ]
[4.11999878e-04 1.52592547e-05]
[1.38859218e-03 1.52592547e-05]
[2.01422163e-03 3.05185095e-05]
[0.00216681 0.        ]
[0.00201422 0.        ]
[0.00161748 0.        ]
[1.08340709e-03 1.52592547e-05]
[6.56147954e-04 1.52592547e-05]
[4.11999878e-04 1.52592547e-05]
[3.96740623e-04 3.05185095e-05]
[7.78221992e-04 1.52592547e-05]
[1.48014771e-03 1.52592547e-05]
[2.27362896e-03 1.52592547e-05]
[0.00305185 0.        ]
[3.73851741e-03 1.52592547e-05]
[0.00396741 0.        ]
[0.00387585 0.        ]
[3.25022126e-03 1.52592547e-05]
[2.38044374e-03 3.05185095e-05]
[0.00134281 0.        ]
[3.20444349e-04 1.52592547e-05]
[3.20444349e-04 1.52592547e-05]
