[0.01217976 0.        ]
[0.01301974 0.        ]
[0.01406972 0.        ]
[0.01448971 0.        ]
[0.01364973 0.        ]
[0.01259975 0.        ]
[0.01217976 0.        ]
[0.01406972 0.        ]
[0.01805964 0.        ]
[0.02288954 0.        ]
[0.02687946 0.        ]
[0.02855943 0.        ]
[0.02792944 0.        ]
[0.02624948 0.        ]
[0.0249895 0.       ]
[0.0247795 0.       ]
[0.02540949 0.        ]
[0.02603948 0.        ]
[0.02561949 0.        ]
[0.0247795 0.       ]
[0.02393952 0.        ]
[0.02372953 0.        ]
[0.02393952 0.        ]
[0.02414952 0.        ]
[0.02393952 0.        ]
[0.02330953 0.        ]
[0.02288954 0.        ]
[0.02267955 0.        ]
[0.02288954 0.        ]
[0.02309954 0.        ]
[0.02288954 0.        ]
[0.02225955 0.        ]
[0.02162957 0.        ]
[0.02141957 0.        ]
[0.02162957 0.        ]
[0.02183956 0.        ]
[0.02183956 0.        ]
[0.02162957 0.        ]
[0.02120958 0.        ]
[0.02099958 0.        ]
[0.02099958 0.        ]
[0.02078958 0.        ]
[0.0201596 0.       ]
[0.01973961 0.        ]
[0.01931961 0.        ]
[0.01973961 0.        ]
[0.02036959 0.        ]
[0.02078958 0.        ]
[0.02057959 0.        ]
[0.0199496 0.       ]
[0.01910962 0.        ]
[0.01868963 0.        ]
[0.01910962 0.        ]
[0.01931961 0.        ]
[0.01910962 0.        ]
[0.01784964 0.        ]
[0.01679966 0.        ]
[0.01637967 0.        ]
[0.01763965 0.        ]
[0.01910962 0.        ]
[0.01952961 0.        ]
[0.01700966 0.        ]
[0.01196976 0.        ]
[0.00545989 0.        ]
[0.00021 0.     ]
[0.00230995 0.        ]
[0.00188996 0.        ]
[0.00021 0.     ]
[0.00104998 0.        ]
[0.00125997 0.        ]
[0.00021 0.     ]
[0.00062999 0.        ]
[0.00083998 0.        ]
[0.00021 0.     ]
[0.00041999 0.        ]
[0.00062999 0.        ]
[0.00021 0.     ]
[0.00021 0.     ]
[0.00041999 0.        ]
[0.00021 0.     ]
[0.00021 0.     ]
[0.00041999 0.        ]
[0.00021 0.     ]
[0.00021 0.     ]
[0.00021 0.     ]
[0.00021 0.     ]
[0. 0.]
[0.00021 0.     ]
[0.00021 0.     ]
[0. 0.]
[0.00021 0.     ]
[0.00021 0.     ]
[0. 0.]
[0.00021 0.     ]
[0.00021 0.     ]
[0. 0.]
[0.00021 0.     ]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
[0. 0.]
