[0.01168605 0.00125014]
[0.01062616 0.0003533 ]
[0.01149581 0.00057071]
[0.01369714 0.00054354]
[0.00937602 0.00040765]
[0.01122405 0.00084248]
[0.01222959 0.00081531]
[0.01002826 0.00040765]
[0.0055169  0.00274486]
[0.00842483 0.00179367]
[0.00682139 0.00133167]
[0.00877813 0.00057071]
[0.00788129 0.00027177]
[0.01133275 0.0032884 ]
[0.01296337 0.00133167]
[0.0135069  0.00051636]
[0.01453962 0.00154908]
[0.01405044 0.00122296]
[0.01171323 0.00089684]
[0.01125122 0.00048918]
[0.01217524 0.00228286]
[0.01358843 0.00059789]
[0.01165888 0.0003533 ]
[0.01081639 0.00375041]
[0.01024568 0.00144037]
[0.00934884 0.00059789]
[0.00994673 0.00076095]
[8.23459072e-03 8.15306012e-05]
[0.00603326 0.00086966]
[0.00701163 0.00114143]
[0.0112784  0.00040765]
[0.00959343 0.0032884 ]
[0.00663116 0.00271769]
[0.00578867 0.00046201]
[0.00981085 0.00209262]
[0.00717469 0.00092401]
[0.00554408 0.00081531]
[0.00334275 0.00078813]
[0.0072834 0.       ]
[0.00766388 0.00130449]
[0.00432112 0.00138602]
[0.00423959 0.00032612]
[0.00538102 0.00097837]
[0.00304381 0.00027177]
[0.00339711 0.00040765]
[0.00309816 0.00418524]
[0.00201109 0.0007066 ]
[0.00404935 0.00154908]
[0.00247309 0.00089684]
[0.00214697 0.00323405]
[0.00190238 0.00059789]
[0.00597891 0.00184803]
[0.00788129 0.00146755]
[0.00625068 0.00016306]
[0.0017665  0.00084248]
[0.00051636 0.00051636]
[0.00483748 0.00157626]
[0.00608762 0.00076095]
[0.00407653 0.00130449]
[6.79421676e-04 2.71768671e-05]
[0.00171214 0.0017665 ]
[0.00527231 0.00114143]
[1.63061202e-03 5.43537341e-05]
[0.00111425 0.00252745]
[0.00084248 0.00013588]
[0.00635939 0.00032612]
[0.00603326 0.00010871]
[0.0051636  0.00016306]
[0.00467442 0.00043483]
[0.00442983 0.00116861]
[0.00760952 0.00206544]
[0.00722905 0.00065224]
[0.00565279 0.00010871]
[0.00706599 0.00010871]
[0.0054082  0.00127731]
[0.0029351 0.0015219]
[0.00309816 0.00027177]
[4.42982933e-03 2.71768671e-05]
[7.77258398e-03 5.43537341e-05]
[8.23459072e-03 2.71768671e-05]
[0.00288075 0.00054354]
[0.00228286 0.00054354]
[0.00396782 0.00201109]
[0.00845201 0.00127731]
[0.00891401 0.00184803]
[0.00608762 0.0014132 ]
[0.00709316 0.00040765]
[0.00581585 0.00010871]
[0.00633221 0.00029895]
[0.00654962 0.00067942]
[0.00752799 0.00062507]
[0.00342429 0.00119578]
[0.00548973 0.00076095]
[0.01078922 0.00078813]
[0.00788129 0.00315252]
[0.00785411 0.00372323]
[0.00777258 0.00010871]
[0.00698445 0.00154908]
[0.00712034 0.00347864]
[0.00644092 0.00122296]
[0.00377758 0.00252745]
[0.00437548 0.00160344]
[0.00369605 0.0007066 ]
[0.00440265 0.00135884]
[0.00573432 0.00122296]
[0.0050549  0.00054354]
[0.00548973 0.00086966]
[0.00307099 0.00127731]
[0.00394065 0.00051636]
[0.00146755 0.00054354]
[0.00421241 0.00089684]
[0.00356017 0.00116861]
[0.00135884 0.00059789]
[0.00146755 0.00114143]
[0.00209262 0.00089684]
[2.36438743e-03 2.71768671e-05]
[0.00402218 0.00054354]
[0.00206544 0.00027177]
[0.00263616 0.00040765]
[0.0017665  0.00209262]
[0.00421241 0.00203827]
[0.00619633 0.00092401]
[0.00513643 0.00122296]
[0.00760952 0.00135884]
[0.0029351  0.00054354]
[0.00353299 0.00021741]
[0.00418524 0.00027177]
[0.0055169  0.00051636]
[0.00606044 0.00171214]
[0.00877813 0.00089684]
[0.01005544 0.00021741]
[0.00853354 0.00010871]
[0.00861507 0.00073378]
[0.00760952 0.00021741]
[0.0086966  0.00043483]
[0.00712034 0.00065224]
[0.00418524 0.00038048]
[0.0097565  0.00116861]
[0.0098652  0.00040765]
[0.00766388 0.00076095]
[0.00785411 0.00078813]
[0.0061148  0.00024459]
[0.00962061 0.00456571]
[0.00307099 0.00171214]
[0.00385912 0.00059789]
[0.00706599 0.00298946]
[0.00426677 0.00138602]
[0.00790847 0.00013588]
[0.00774541 0.00182085]
[0.00712034 0.00244592]
[0.00513643 0.00209262]
[0.00538102 0.00271769]
[0.00307099 0.00051636]
[0.00562561 0.00024459]
[0.00508207 0.0003533 ]
[0.0051636  0.00135884]
[0.00323405 0.00231003]
[0.00296228 0.00138602]
[0.00508207 0.00051636]
[0.00521796 0.00108707]
[0.00994673 0.00065224]
[0.00467442 0.00157626]
[4.75595173e-03 8.15306012e-05]
[0.01002826 0.00013588]
[0.00508207 0.00062507]
[0.00467442 0.00103272]
[0.00589738 0.00133167]
[0.0054082  0.00231003]
[0.00404935 0.00209262]
[0.00432112 0.00073378]
[0.00160344 0.00024459]
[0.00432112 0.00084248]
[0.00244592 0.00130449]
[0.00043483 0.00130449]
[0.00048918 0.00048918]
[2.44591803e-04 8.15306012e-05]
[0.00168497 0.00114143]
[0.00483748 0.00076095]
[0.00415806 0.00192956]
[0.00127731 0.00046201]
[0.00089684 0.00019024]
[0.00043483 0.00059789]
[0.00081531 0.00108707]
[0.00111425 0.00182085]
[0.00038048 0.00119578]
[8.15306012e-05 2.98945538e-04]
[0.00027177 0.00054354]
[0.00024459 0.00122296]
[0.00089684 0.00154908]
[0.00168497 0.00027177]
[0.00095119 0.00062507]
[0.00065224 0.        ]
[0.00122296 0.00046201]
[0.00418524 0.00038048]
[0.00298946 0.00081531]
[8.15306012e-04 5.43537341e-05]
[0.00016306 0.00103272]
[6.52244809e-04 5.43537341e-05]
[1.71214262e-03 8.15306012e-05]
[0.00116861 0.0010599 ]
[0.00168497 0.00163061]
[0.00269051 0.00040765]
[0.00078813 0.00046201]
[0.00279922 0.00084248]
[0.00584303 0.00323405]
[0.00497337 0.00078813]
[0.00244592 0.00081531]
[0.00301663 0.00051636]
[0.00103272 0.00217415]
[0.00190238 0.00048918]
[0.00013588 0.00051636]
[0.00038048 0.00125014]
[2.71768671e-05 1.49472769e-03]
[0.00198391 0.00160344]
[0.00502772 0.00100554]
[0.00038048 0.00108707]
[0.00209262 0.00192956]
[0.0010599  0.00019024]
[0.00046201 0.00019024]
[0.00130449 0.0029351 ]
[0.00062507 0.00100554]
[0.00217415 0.00271769]
[0.00173932 0.00048918]
[0.00157626 0.        ]
[0.00065224 0.00092401]
[0.00192956 0.00111425]
[0.00051636 0.00067942]
[0.00119578 0.0007066 ]
[0.00027177 0.00239156]
[0.00089684 0.00051636]
[0.00347864 0.00168497]
[0.00320687 0.00315252]
[0.00173932 0.0014132 ]
[0.00138602 0.0018752 ]
[0.0017665 0.0003533]
[0.0007066  0.00038048]
[0.00339711 0.00051636]
[0.00220133 0.00127731]
[0.00241874 0.00040765]
[0.00201109 0.00184803]
[0.00021741 0.00179367]
[0.00103272 0.00038048]
[0.00184803 0.        ]
[2.71768671e-05 3.39710838e-03]
[3.20687031e-03 5.43537341e-05]
[0.00250027 0.00043483]
[0.00073378 0.00062507]
[0.0018752  0.00084248]
[0.0015219  0.00092401]
[0.00076095 0.00048918]
[0.00038048 0.00032612]
[0.00111425 0.00013588]
[0.00557126 0.00182085]
[0.00606044 0.00046201]
[0.00491901 0.00062507]
[0.00323405 0.00073378]
[0.00459289 0.00296228]
[0.00668551 0.00119578]
[0.00418524 0.00114143]
[0.00078813 0.00062507]
[0.00032612 0.00173932]
[0.00081531 0.00054354]
[0.00502772 0.00100554]
[0.00614197 0.00108707]
[0.00823459 0.00122296]
[0.00695728 0.00282639]
[0.00614197 0.00021741]
[0.00891401 0.00086966]
[0.00535384 0.00019024]
[0.00366888 0.00078813]
[0.00241874 0.00116861]
[0.00741928 0.00040765]
[0.00445701 0.00032612]
[0.00334275 0.00040765]
[0.00510925 0.00217415]
[0.00195673 0.00021741]
[2.36438743e-03 2.71768671e-05]
[0.00086966 0.00125014]
[0.0029351 0.0007066]
[0.00372323 0.00046201]
[6.25067942e-04 2.71768671e-05]
[0.0025818  0.00046201]
[0.00078813 0.00149473]
[0.00209262 0.00078813]
[0.00301663 0.00013588]
[0.00342429 0.00016306]
[0.00641374 0.00103272]
[0.00345146 0.00241874]
[0.00027177 0.00157626]
[0.00125014 0.00048918]
[0.00339711 0.00062507]
[0.00733775 0.00195673]
[0.00296228 0.00209262]
[0.00298946 0.00146755]
[0.00296228 0.00144037]
[0.00475595 0.00046201]
[0.00619633 0.00119578]
[0.00356017 0.00225568]
[0.00336993 0.00010871]
[0.00195673 0.00298946]
[0.00288075 0.00114143]
[0.0015219  0.00059789]
[0.00233721 0.00027177]
[0.00078813 0.00046201]
[0.00125014 0.0007066 ]
[0.00157626 0.00244592]
[0.00111425 0.00138602]
[0.00157626 0.00010871]
[0.00054354 0.00233721]
[3.17969344e-03 8.15306012e-05]
[8.96836613e-04 8.15306012e-05]
[1.22295902e-03 2.71768671e-05]
[2.71768671e-03 5.43537341e-05]
[0.00073378 0.00013588]
[0.00111425 0.00057071]
[0.00146755 0.00038048]
[0.00323405 0.00084248]
[0.00040765 0.00084248]
[0.00173932 0.0015219 ]
[0.00347864 0.00048918]
[0.00288075 0.00086966]
[0.00440265 0.00201109]
[0.0022285  0.00032612]
[0.0018752  0.00171214]
[0.00149473 0.00013588]
[0.00108707 0.00114143]
[0.00024459 0.0003533 ]
[0.00146755 0.00016306]
[0.00024459 0.00182085]
[0.00250027 0.00010871]
[0.00347864 0.00010871]
[0.00288075 0.00048918]
[0.00127731 0.00133167]
[0.00024459 0.00019024]
[0.00535384 0.00089684]
[0.00122296 0.00073378]
[0.00054354 0.00092401]
[0.00442983 0.00247309]
[0.00391347 0.00103272]
[0.00625068 0.00027177]
[0.00252745 0.00252745]
[0.00410371 0.00073378]
[0.00432112 0.00165779]
[0.00111425 0.00247309]
[0.00309816 0.00103272]
[0.00225568 0.00116861]
[0.00048918 0.00076095]
[0.00057071 0.00171214]
[0.00111425 0.00122296]
[1.14142842e-03 5.43537341e-05]
[0.00130449 0.00125014]
[0.00619633 0.00135884]
[0.00649527 0.00078813]
[0.00366888 0.00220133]
[0.0055169  0.00160344]
[0.00603326 0.00021741]
[0.00467442 0.00010871]
[0.00163061 0.00250027]
[0.00111425 0.00122296]
[0.00527231 0.00097837]
[0.00665833 0.00062507]
[0.00260898 0.00125014]
[0.00625068 0.00054354]
[0.00282639 0.00048918]
[0.00385912 0.00114143]
[0.00445701 0.00016306]
[0.00114143 0.00125014]
[0.00720187 0.00116861]
[0.00369605 0.00065224]
[0.00684857 0.00114143]
[0.0051636  0.00195673]
[0.00350582 0.00051636]
[0.00500054 0.00081531]
[0.00260898 0.00032612]
[5.02772040e-03 2.71768671e-05]
[0.00214697 0.00214697]
[0.00038048 0.00135884]
[2.71768671e-03 5.43537341e-05]
[0.00309816 0.00135884]
[0.00402218 0.00076095]
[0.00157626 0.0015219 ]
[0.00548973 0.00217415]
[0.0025818  0.00013588]
[0.00179367 0.00206544]
[0.0025818  0.00089684]
[0.00095119 0.0018752 ]
[0.00103272 0.0022285 ]
[0.00442983 0.00133167]
[0.00388629 0.0025818 ]
[0.00065224 0.00059789]
[0.00277204 0.00081531]
[0.00298946 0.00027177]
[0.00198391 0.00100554]
[0.00559843 0.0015219 ]
[0.00456571 0.00021741]
[0.00388629 0.00263616]
[0.00413088 0.        ]
[0.00040765 0.00149473]
[0.00054354 0.0015219 ]
[0.00114143 0.00048918]
[0.00184803 0.00092401]
[0.00182085 0.00057071]
[0.00171214 0.00046201]
[0.00217415 0.00342429]
[0.0014132 0.0022285]
[0.00356017 0.00051636]
[0.00350582 0.0003533 ]
[0.00236439 0.00040765]
[0.00415806 0.00062507]
[0.00538102 0.00108707]
[0.0058702  0.00054354]
[0.00654962 0.00029895]
[0.00616915 0.00095119]
[0.00584303 0.00062507]
[0.00336993 0.00173932]
[0.00345146 0.00057071]
[0.00426677 0.00231003]
[2.74486357e-03 8.15306012e-05]
[0.00320687 0.00135884]
[0.00383194 0.00019024]
[0.0017665  0.00051636]
[0.00214697 0.00274486]
[0.00220133 0.00024459]
[0.00127731 0.00084248]
[0.00290792 0.00171214]
[0.0025818  0.00013588]
[0.00353299 0.00038048]
[0.00565279 0.00103272]
[0.00130449 0.00146755]
[0.00163061 0.00038048]
[0.00296228 0.0010599 ]
[0.00135884 0.00130449]
[0.00144037 0.00051636]
[0.00059789 0.00255463]
[0.00084248 0.00339711]
[0.00040765 0.00214697]
[0.00472877 0.00184803]
[0.00179367 0.00271769]
[0.00198391 0.00225568]
[0.00336993 0.0029351 ]
[0.00241874 0.0003533 ]
[0.0047016  0.00133167]
[0.0055169  0.00095119]
[0.00418524 0.00250027]
[0.00394065 0.00220133]
[0.00679422 0.00021741]
[0.00524514 0.00241874]
[0.00478313 0.00065224]
[0.00361452 0.00252745]
[0.00592456 0.00266333]
[0.0015219  0.00206544]
[0.00423959 0.00309816]
[0.00619633 0.00478313]
[0.00404935 0.00372323]
[0.00475595 0.00269051]
[0.00247309 0.00285357]
[0.00407653 0.00043483]
[0.00239156 0.00255463]
[0.00108707 0.00168497]
[0.00633221 0.00241874]
[0.00413088 0.0014132 ]
[0.0057615  0.00228286]
[0.00486466 0.00203827]
[0.00589738 0.00122296]
[0.00750082 0.00385912]
